"","from","to","database","source"
"2131","Fshb","Ramp3","omnipath","omnipath"
"2132","Fshb","Tshr","omnipath","omnipath"
"2133","Fshb","Vipr1","omnipath","omnipath"
"2134","Fst","Bmpr1b","omnipath","omnipath"
"2135","Fst","Bmpr2","omnipath","omnipath"
"2136","Fst","Hjv","omnipath","omnipath"
"2137","Fstl5","Cd86","omnipath","omnipath"
"2138","Fstl5","Ceacam19","omnipath","omnipath"
"2139","Fstl5","Chl1","omnipath","omnipath"
"2140","Fstl5","Cntn5","omnipath","omnipath"
"2141","Fstl5","Gp6","omnipath","omnipath"
"2142","Fstl5","Il6ra","omnipath","omnipath"
"2143","Fstl5","Sdk2","omnipath","omnipath"
